part_id,session_n,vhq_1,vhq_2,vhq_3,vhq_4,vhq_5,vhq_6,vhq_7,vhq_8,vhq_9,vhq_10,vhq_11,vhq_12,vhq_13,vhq_14,vhq_15,vhq_16,vhq_17,vhq_18,vhq_19,vhq_20,vhq_21,exp4_engagement_1,exp4_pleasure_1,exp4_discomfort_1,exp4_arousal_1,block,stage,exp_dim_session_1,exp_dim_session_2,exp_strobe
11258,2,5,3,4,1,1,1,2,2,2,5,5,5,2,5,3,2,4,1,1,5,,82,78,6,64,1,1,,,
11258,4,5,5,5,2,2,2,3,3,2,5,5,3,2,5,3,2,4,2,1,5,,82,82,5,74,1,2,2,1,
11258,3,5,5,5,2,2,1,3,2,2,5,5,4,1,5,3,1,4,2,1,5,,83,83,5,77,2,1,,,
11258,1,5,5,5,2,2,2,3,2,2,5,5,5,2,5,3,2,4,2,1,5,,83,82,5,79,2,2,2,1,2
11310,4,5,5,5,1,3,1,3,4,2,3,2,2,4,4,2,1,3,1,1,5,,52,31,51,41,1,1,,,
11310,2,5,5,4,3,1,1,2,2,3,3,3,5,4,4,4,2,2,2,1,5,,42,63,31,41,1,2,1,2,
11310,3,5,5,5,1,1,1,4,3,3,2,3,2,3,3,2,4,2,4,1,5,,63,29,52,20,2,1,,,
11310,1,4,2,3,1,3,2,1,2,2,2,3,4,3,4,4,1,4,1,1,5,,30,30,19,41,2,2,1,2,1
11338,3,5,5,5,4,3,3,4,5,5,1,1,1,1,3,1,3,3,3,1,5,,71,90,0,73,1,1,,,
11338,1,3,2,2,1,2,1,2,1,2,3,3,3,1,2,1,2,2,2,1,5,,38,79,3,28,1,2,1,2,
11338,2,4,4,4,2,3,2,1,2,2,3,2,2,1,1,1,2,3,1,1,5,,50,71,11,36,2,1,,,
11338,4,5,5,5,1,1,2,3,3,3,1,1,1,1,1,1,3,4,3,1,5,,91,73,5,67,2,2,2,1,1
11238,2,5,2,1,4,4,4,3,1,1,4,5,5,1,3,2,3,1,4,1,5,,16,74,4,0,1,1,,,
11238,4,4,4,4,4,5,5,1,1,3,4,5,4,4,4,3,5,2,5,1,5,,55,9,3,12,1,2,2,1,
11238,1,4,4,2,1,1,4,2,1,1,5,5,5,3,4,2,4,2,5,1,5,,3,49,0,15,2,1,,,
11238,3,5,5,5,1,1,4,2,1,1,4,5,5,5,2,1,4,4,5,1,5,,76,78,0,45,2,2,2,1,1
11230,4,5,5,5,1,1,1,5,5,5,1,2,1,5,5,5,3,1,4,1,5,,100,100,82,82,1,1,,,
11230,2,5,5,4,1,1,1,2,2,2,1,5,5,2,4,5,1,5,1,1,5,,31,40,0,52,1,2,1,2,
11230,3,5,5,5,1,1,1,5,5,5,1,1,4,5,5,5,5,5,5,1,5,,100,100,92,84,2,1,,,
11230,1,5,4,4,1,1,1,2,3,4,2,4,4,2,4,4,3,5,3,1,5,,41,61,0,30,2,2,1,2,2
11251,3,5,4,5,4,4,4,5,5,5,4,3,4,5,5,5,1,5,4,2,5,,81,76,2,38,1,1,,,
11251,1,2,1,2,1,1,3,1,1,1,4,4,5,1,4,4,1,1,1,1,5,,3,4,92,36,1,2,1,2,
11251,2,2,3,2,1,3,4,2,1,2,1,3,1,2,3,2,1,2,1,1,4,,30,37,74,90,2,1,,,
11251,4,5,5,5,5,5,4,5,5,5,1,1,2,5,5,5,1,5,5,3,5,,100,100,3,100,2,2,2,1,2
11197,4,5,5,5,1,2,2,4,5,4,1,1,1,2,4,2,1,5,3,1,5,,100,83,0,100,1,1,,,
11197,2,3,3,5,1,1,3,1,1,1,5,5,5,4,5,3,3,5,2,1,5,,30,52,0,9,1,2,1,2,
11197,1,1,3,3,1,1,1,1,1,1,5,5,5,2,5,5,1,3,1,1,5,,18,52,13,39,2,1,,,
11197,3,5,5,5,1,1,1,4,3,5,1,1,1,3,2,1,2,5,3,1,5,,80,82,0,52,2,2,2,1,
11226,4,4,5,5,4,5,4,4,4,1,1,1,1,1,3,3,1,5,1,1,5,,100,100,0,100,1,1,,,
11226,2,4,1,5,2,2,1,3,2,1,1,1,2,4,4,4,1,5,1,1,5,,74,72,0,90,1,2,1,2,
11226,3,5,5,5,5,5,4,5,5,5,1,1,1,3,4,3,1,5,1,1,5,,100,100,0,100,2,1,,,
11226,1,5,5,4,1,1,2,4,1,1,4,4,4,2,4,5,5,1,5,1,5,,100,100,0,55,2,2,1,2,2
11155,3,5,5,5,5,4,3,5,3,4,1,1,1,4,4,3,2,5,3,1,5,,100,100,0,0,1,1,,,
11155,1,5,2,4,5,3,5,3,2,2,3,5,3,2,2,2,2,5,3,1,5,,100,100,0,1,1,2,1,2,
11155,2,4,2,4,5,5,4,3,1,3,2,5,5,2,2,2,1,5,4,1,5,,100,100,0,0,2,1,,,
11155,4,5,5,5,5,5,5,5,4,2,1,1,2,2,3,2,2,5,4,1,5,,100,100,0,0,2,2,2,1,2
11121,2,5,2,5,5,5,5,2,4,4,1,1,1,5,4,5,1,5,1,1,5,,61,82,0,51,1,1,,,
11121,4,5,5,5,3,3,4,3,2,1,1,1,1,4,5,5,1,5,1,1,5,,84,72,39,62,1,2,1,2,
11121,1,3,2,2,1,4,4,2,2,2,1,1,1,4,4,5,1,5,1,1,5,,61,72,29,41,2,1,,,
11121,3,5,4,5,3,3,4,2,1,3,1,1,1,5,5,5,1,5,1,1,5,,92,91,29,92,2,2,2,1,1
11264,2,5,4,5,7,3,1,2,2,2,2,2,1,3,4,1,4,4,4,1,5,,92,92,0,100,1,1,,,
11264,4,1,1,2,4,5,5,2,3,1,1,4,1,4,3,5,2,3,2,1,5,,82,71,51,51,1,2,1,2,
11264,1,1,1,1,1,1,1,1,1,1,5,4,1,5,5,5,1,5,1,1,5,,19,19,40,51,2,2,,,
11264,3,5,5,5,4,2,1,4,4,4,2,1,1,3,4,1,4,1,5,1,5,,100,100,0,100,2,2,2,1,1
11381,4,4,5,3,1,1,1,1,1,1,5,4,2,4,3,3,1,4,1,1,5,,20,51,8,20,1,2,,,
11381,2,5,5,5,1,1,1,3,1,3,2,2,1,4,5,3,4,2,4,1,5,,82,29,61,72,1,2,2,1,
11381,1,2,2,2,1,1,2,2,1,2,5,5,5,2,3,4,4,2,3,1,5,,19,41,9,5,2,2,,,
11381,3,4,5,5,1,2,1,4,4,3,4,2,1,5,4,3,3,2,4,1,5,,51,51,40,30,2,2,2,1,1
11307,2,4,5,5,7,5,5,5,4,5,1,2,1,5,5,5,1,5,1,1,5,,95,31,89,3,1,2,,,
11307,4,5,3,3,7,5,4,4,4,4,2,2,2,4,5,4,2,4,3,1,5,,49,81,18,32,1,2,1,2,
11307,1,4,2,4,7,5,5,3,3,4,1,1,1,3,4,4,3,3,4,1,5,,90,94,0,34,2,2,,,
11307,3,3,4,2,7,5,5,2,3,4,2,2,2,3,4,2,4,3,4,1,5,,6,68,0,94,2,2,1,2,2
11313,4,4,4,5,2,5,4,3,4,3,1,1,2,3,2,3,2,5,2,1,5,,72,72,0,0,1,2,,,
11313,2,5,5,5,3,4,2,5,5,4,1,1,1,3,5,4,3,5,3,1,5,,92,81,0,0,1,2,2,1,
11313,1,2,1,2,7,3,2,2,2,2,5,5,5,1,1,2,1,5,1,1,5,,68,77,0,0,2,2,,,
11313,3,5,5,5,4,3,2,4,5,5,1,1,1,2,1,2,3,2,3,1,5,,88,88,0,0,2,2,2,1,1
11300,2,5,5,5,7,4,2,5,4,5,1,3,1,2,5,3,3,4,2,1,5,,100,70,61,100,1,2,,,
11300,4,5,5,5,4,1,1,4,4,5,2,2,1,3,3,4,2,5,3,1,5,,72,71,40,100,1,2,1,2,
11300,1,4,4,4,2,1,1,2,2,2,2,2,2,2,3,4,2,4,2,1,5,,50,35,9,41,2,2,,,
11300,3,5,5,5,7,4,4,5,5,5,2,3,2,4,5,2,3,5,3,1,5,,100,100,30,100,2,2,2,1,2
11138,2,5,5,5,2,2,1,3,2,2,1,2,2,3,2,2,3,4,3,1,5,,87,68,12,100,1,2,,,
11138,4,5,5,5,3,2,2,2,2,3,1,1,2,3,3,1,3,3,2,1,5,,92,66,8,100,1,2,2,1,
11138,3,5,5,5,4,4,2,3,2,3,1,1,1,2,2,1,4,3,3,1,5,,71,75,10,100,2,2,,,
11138,1,3,2,5,3,4,1,2,3,3,1,2,1,2,2,1,3,4,2,1,5,,54,50,8,100,2,2,1,2,2
11170,3,5,5,5,4,4,4,3,3,2,2,1,1,5,5,4,3,3,3,1,5,,100,93,0,54,1,2,,,
11170,1,5,5,5,1,1,2,2,1,2,3,2,2,3,3,2,2,4,2,1,5,,67,78,0,52,1,2,1,2,
11170,4,5,5,5,1,1,3,2,2,2,4,5,5,3,3,2,4,4,4,1,5,,42,70,0,40,2,2,,,
11170,2,5,5,5,1,1,3,3,3,3,1,1,1,5,3,2,5,2,5,1,5,,84,87,0,79,2,2,2,1,1
11128,3,4,4,4,2,2,3,3,4,2,2,3,2,2,2,3,2,3,3,1,5,,77,68,12,53,1,2,,,
11128,1,4,4,3,3,1,2,2,4,4,2,2,2,2,2,3,3,2,3,1,5,,52,64,14,42,1,2,1,2,
11128,4,3,3,4,1,3,2,2,3,1,2,3,2,2,4,3,1,3,4,1,5,,41,69,6,58,2,2,,,
11128,2,2,2,4,1,2,3,4,3,2,3,2,2,1,4,3,2,3,3,1,5,,79,49,18,7,2,2,2,1,2
